iter	Passed	Remaining
412	3523	5007
413	3531	4998
414	3539	4989
415	3548	4981
416	3556	4972
417	3565	4964
418	3575	4957
419	3584	4949
420	3592	4941
421	3600	4931
422	3608	4921
423	3615	4911
424	3622	4901
425	3630	4891
426	3638	4882
427	3645	4871
428	3652	4861
429	3659	4851
430	3667	4841
431	3674	4831
432	3681	4821
433	3689	4812
434	3696	4801
435	3704	4791
436	3712	4782
437	3719	4772
438	3726	4761
439	3733	4751
440	3741	4742
441	3748	4732
442	3757	4723
443	3765	4715
444	3773	4706
445	3781	4696
446	3789	4687
447	3796	4677
448	3804	4669
449	3812	4659
450	3819	4649
451	3828	4641
452	3836	4632
453	3843	4622
454	3850	4612
455	3857	4602
456	3864	4592
457	3871	4582
458	3878	4571
459	3887	4563
460	3894	4553
461	3902	4544
462	3909	4534
463	3917	4525
464	3924	4515
465	3932	4506
466	3939	4495
467	3946	4486
468	3953	4476
469	3961	4467
470	3969	4458
471	3978	4450
472	3986	4441
473	3993	4431
474	4002	4423
475	4009	4414
476	4016	4404
477	4023	4394
478	4031	4385
479	4038	4375
480	4046	4366
481	4053	4356
482	4060	4346
483	4068	4337
484	4075	4327
485	4082	4318
486	4089	4308
487	4097	4299
488	4105	4289
489	4113	4281
490	4120	4271
491	4129	4263
492	4136	4254
493	4145	4246
494	4153	4237
495	4161	4228
496	4168	4218
497	4176	4209
498	4183	4200
499	4190	4190
500	4197	4181
501	4204	4171
502	4212	4162
503	4219	4152
504	4226	4143
505	4234	4133
506	4241	4124
507	4249	4115
508	4256	4106
509	4263	4096
510	4270	4086
511	4278	4077
512	4285	4068
513	4293	4059
514	4301	4050
515	4309	4042
516	4317	4033
517	4326	4025
518	4333	4015
519	4340	4006
520	4347	3997
521	4355	3988
522	4362	3978
523	4370	3969
524	4377	3960
525	4386	3953
526	4394	3944
527	4401	3934
528	4408	3925
529	4418	3918
530	4425	3908
531	4433	3899
532	4440	3890
533	4447	3881
534	4454	3871
535	4461	3862
536	4470	3854
537	4478	3845
538	4486	3836
539	4493	3827
540	4500	3818
541	4508	3809
542	4517	3801
543	4527	3794
544	4535	3786
545	4542	3776
546	4549	3767
547	4556	3758
548	4563	3749
549	4572	3740
550	4581	3732
551	4588	3724
552	4596	3715
553	4604	3706
554	4613	3698
555	4621	3690
556	4630	3682
557	4639	3675
558	4647	3666
559	4656	3658
560	4664	3650
561	4672	3641
562	4682	3634
563	4690	3626
564	4700	3619
565	4709	3610
566	4717	3602
567	4724	3593
568	4731	3583
569	4738	3574
570	4746	3565
571	4753	3556
572	4761	3547
573	4767	3538
574	4776	3530
575	4782	3520
576	4789	3511
577	4797	3502
578	4804	3493
579	4811	3484
580	4819	3475
581	4826	3466
582	4834	3457
583	4841	3448
584	4849	3439
585	4888	3453
586	4938	3474
587	4951	3469
588	4962	3463
589	4976	3458
590	4989	3452
591	5002	3447
592	5012	3440
593	5022	3432
594	5036	3428
595	5046	3420
596	5055	3412
597	5066	3406
598	5077	3399
599	5087	3391
600	5096	3383
601	5106	3376
602	5115	3367
603	5124	3359
604	5134	3352
605	5144	3344
606	5154	3337
607	5162	3328
608	5171	3320
609	5179	3311
610	5188	3303
611	5205	3300
612	5221	3296
613	5232	3289
614	5241	3281
615	5253	3274
616	5262	3266
617	5271	3258
618	5278	3249
619	5286	3239
620	5293	3230
621	5300	3221
622	5307	3211
623	5315	3202
624	5322	3193
625	5329	3183
626	5336	3174
627	5343	3165
628	5350	3156
629	5358	3146
630	5365	3137
631	5372	3128
632	5381	3119
633	5388	3110
634	5396	3101
635	5404	3092
636	5412	3084
637	5420	3075
638	5428	3066
639	5438	3058
640	5446	3050
641	5454	3041
642	5463	3033
643	5471	3024
644	5480	3016
645	5491	3009
646	5499	3000
647	5508	2992
648	5518	2984
649	5526	2975
650	5534	2966
651	5542	2958
652	5550	2949
653	5559	2941
654	5567	2932
655	5575	2923
656	5584	2915
657	5594	2907
658	5602	2899
659	5611	2890
660	5621	2882
661	5629	2874
662	5638	2866
663	5646	2857
664	5653	2848
665	5660	2838
666	5668	2829
667	5675	2820
668	5682	2811
669	5690	2802
670	5697	2793
671	5705	2785
672	5713	2776
673	5722	2767
674	5731	2759
675	5740	2751
676	5749	2743
677	5759	2735
678	5772	2728
679	5782	2721
680	5790	2712
681	5800	2704
682	5809	2696
683	5818	2688
684	5826	2679
685	5835	2671
686	5844	2662
687	5852	2653
688	5860	2645
689	5868	2636
690	5877	2628
691	5885	2619
692	5894	2611
693	5903	2602
694	5911	2594
695	5920	2585
696	5928	2577
697	5936	2568
698	5944	2559
699	5953	2551
700	5961	2542
701	5970	2534
702	5981	2526
703	5989	2518
704	6012	2515
705	6020	2507
706	6029	2498
707	6037	2490
708	6047	2481
709	6057	2474
710	6068	2466
711	6077	2458
712	6086	2449
713	6095	2441
714	6105	2433
715	6114	2425
716	6123	2417
717	6133	2408
718	6142	2400
719	6153	2392
720	6166	2386
721	6177	2378
722	6186	2370
723	6197	2362
724	6206	2354
725	6215	2345
726	6225	2337
727	6234	2329
728	6245	2321
729	6255	2313
730	6264	2305
731	6274	2297
732	6284	2289
733	6294	2281
734	6304	2272
735	6313	2264
736	6323	2256
737	6333	2248
738	6344	2240
739	6355	2233
740	6365	2225
741	6380	2218
742	6393	2211
743	6403	2203
744	6412	2195
745	6423	2187
746	6432	2178
747	6442	2170
748	6452	2162
749	6462	2154
750	6474	2146
751	6484	2138
752	6493	2130
753	6503	2121
754	6512	2113
755	6522	2105
756	6532	2096
757	6541	2088
758	6551	2080
759	6562	2072
760	6572	2064
761	6583	2056
762	6594	2048
763	6604	2040
764	6614	2031
765	6623	2023
766	6633	2015
767	6643	2006
768	6653	1998
769	6663	1990
770	6673	1982
771	6684	1974
772	6694	1965
773	6703	1957
774	6713	1949
775	6724	1940
776	6734	1932
777	6744	1924
778	6755	1916
