iter	RMSE
168	18.64772322
169	18.63898114
170	18.63004612
171	18.61943288
172	18.60435948
173	18.59233759
174	18.58353658
175	18.57581196
176	18.5545003
177	18.53982204
178	18.52700785
179	18.51071422
180	18.50116702
181	18.49203642
182	18.4758943
183	18.46434874
184	18.44737658
185	18.42377364
186	18.41319518
187	18.39376391
188	18.36678994
189	18.34743911
190	18.33541707
191	18.30967629
192	18.29542213
193	18.27593363
194	18.25741946
195	18.24544482
196	18.22727328
197	18.2107073
198	18.20045663
199	18.18454115
200	18.1630201
201	18.14591492
202	18.11999952
203	18.10587841
204	18.09694044
205	18.0901398
206	18.06979244
207	18.05237547
208	18.0292713
209	18.01501121
210	18.00257644
211	17.98851588
212	17.97221962
213	17.95406972
214	17.93795514
215	17.92183648
216	17.91149422
217	17.89142948
218	17.87187931
219	17.85476919
220	17.84474587
221	17.83025444
222	17.81230045
223	17.80100888
224	17.78565357
225	17.77622221
226	17.76829707
227	17.75650357
228	17.73362212
229	17.71377056
230	17.69850929
231	17.68405998
232	17.67059292
233	17.65487606
234	17.64076402
235	17.63254795
236	17.62202642
237	17.60811601
238	17.60207341
239	17.59175859
240	17.5731701
241	17.55652188
242	17.5459966
243	17.53371112
244	17.51882632
245	17.50640792
246	17.49255846
247	17.47638826
248	17.46594294
249	17.4574744
250	17.43474808
251	17.41714385
252	17.40717704
253	17.38502322
254	17.3743998
255	17.36123471
256	17.35264807
257	17.33739944
258	17.32677625
259	17.31271573
260	17.29552341
261	17.27958614
262	17.2660035
263	17.25174383
264	17.23668238
265	17.22384098
266	17.21183662
267	17.20516013
268	17.19756295
269	17.1836097
270	17.16898654
271	17.15908439
272	17.15318186
273	17.14152253
274	17.13115147
275	17.11379639
276	17.09970843
277	17.08212956
278	17.06964482
279	17.06068559
280	17.05455792
281	17.04379418
282	17.02210763
283	17.00864684
284	16.99681135
285	16.98276836
286	16.97592231
287	16.95969004
288	16.94694737
289	16.94005057
290	16.92909248
291	16.92122178
292	16.90988168
293	16.89870474
294	16.88906032
295	16.87160778
296	16.86463945
297	16.85329533
298	16.8401462
299	16.82171803
300	16.80850929
301	16.79741659
302	16.78956436
303	16.77668723
304	16.76208105
305	16.74425611
306	16.7358677
307	16.72556587
308	16.70975664
309	16.70334075
310	16.69244729
311	16.68258155
312	16.67354511
313	16.66824291
314	16.65972565
315	16.64622945
316	16.63770299
317	16.62604534
318	16.61272538
319	16.5960783
320	16.58249546
321	16.57395768
322	16.56337117
323	16.55253609
324	16.53944436
325	16.52389207
326	16.51222829
327	16.50313838
328	16.49016455
329	16.47784733
330	16.4691485
331	16.4611168
332	16.45473823
333	16.44972231
334	16.43507857
335	16.42689242
336	16.41467538
337	16.40462817
338	16.39856151
339	16.38746104
340	16.3768204
341	16.36589837
342	16.35066689
343	16.33275194
344	16.32329535
345	16.3077998
346	16.29397885
347	16.28422677
348	16.27811504
349	16.26405935
350	16.25353145
351	16.24273978
352	16.2370318
353	16.22493499
354	16.21576061
355	16.20810116
356	16.19386664
357	16.1842933
358	16.16717351
359	16.15410131
360	16.14337139
361	16.13281854
362	16.12637337
363	16.1151411
364	16.10455947
365	16.09670707
366	16.08996779
367	16.08046119
368	16.069547
369	16.06133953
370	16.04712948
371	16.03819134
372	16.02867679
373	16.02124419
374	16.01138535
375	16.00029657
376	15.989911
377	15.98130834
378	15.97054791
379	15.95933207
380	15.9493082
381	15.94054116
382	15.92930548
383	15.92443887
384	15.9127843
385	15.90238958
386	15.89163588
387	15.88259874
388	15.8719794
389	15.86199201
390	15.85440903
391	15.84291017
392	15.83152394
393	15.82330731
394	15.81748028
395	15.80553254
396	15.79735989
397	15.7797502
398	15.76908808
399	15.76092441
400	15.74816591
401	15.74254223
402	15.73329617
403	15.72256735
404	15.7164701
405	15.70249282
406	15.69037877
407	15.68108629
408	15.6696787
409	15.66371429
410	15.65493411
411	15.64513642
412	15.63584178
413	15.63006415
414	15.61866443
415	15.61029525
416	15.59998792
417	15.59170231
418	15.58283769
419	15.57398761
420	15.56302473
421	15.55591256
422	15.54806164
423	15.54010266
424	15.52585406
425	15.51476356
426	15.50582855
427	15.49195551
428	15.48487641
429	15.47062156
430	15.45807992
431	15.44870024
432	15.439101
433	15.42910242
434	15.41871959
435	15.41121517
436	15.40522877
437	15.39281745
438	15.38412991
439	15.3741422
440	15.36454475
441	15.35648658
442	15.34707081
443	15.33562721
444	15.32237638
445	15.3101454
446	15.30420514
447	15.29446812
448	15.28457064
449	15.2763895
450	15.26411107
451	15.2548399
452	15.24481329
453	15.23561385
454	15.23164613
455	15.2220489
456	15.21386713
457	15.20588726
458	15.19525051
459	15.18549987
460	15.17587085
461	15.16383198
462	15.15422264
463	15.14467108
464	15.13546296
465	15.12785513
466	15.12147095
467	15.11405778
468	15.10437984
469	15.09537838
470	15.08484262
471	15.0797781
472	15.06978997
473	15.06056605
474	15.05390673
475	15.04195587
476	15.0323529
477	15.02529142
478	15.02078263
479	15.01078808
480	15.00350947
481	14.99691074
482	14.98866175
483	14.98087648
484	14.97314762
485	14.96314244
486	14.952224
487	14.94108056
488	14.93593803
489	14.92455263
490	14.91439226
491	14.9060341
492	14.89700875
493	14.89149163
494	14.88097803
495	14.86936919
496	14.86024047
497	14.85413057
498	14.84408741
499	14.83489968
500	14.82581182
501	14.81648943
502	14.8081244
503	14.79873252
504	14.78989036
505	14.78362013
506	14.77686478
507	14.76552366
508	14.75818536
509	14.7503116
510	14.73678264
511	14.72941845
512	14.72028793
513	14.7120457
514	14.70371907
515	14.69672968
516	14.68955016
517	14.68060277
518	14.67042842
519	14.66492964
520	14.65746242
521	14.64791788
522	14.63605633
523	14.63011965
524	14.61766157
525	14.60819705
526	14.60060133
527	14.59336661
528	14.5854005
529	14.57784469
530	14.56832761
531	14.56030081
532	14.55283679
533	14.542478
534	14.53631933
535	14.52779359
536	14.51911122
537	14.5088239
538	14.49920538
539	14.49386715
540	14.4838706
541	14.47350661
542	14.46686029
543	14.45605291
544	14.44810765
545	14.43567087
546	14.42699479
547	14.42039317
548	14.41160215
549	14.39960089
550	14.39204984
551	14.3866626
552	14.37991927
553	14.368385
554	14.36020873
555	14.35260302
556	14.3450429
557	14.3405157
558	14.33553532
559	14.3270682
560	14.31896156
561	14.31083671
562	14.29857445
563	14.28768391
564	14.27937584
565	14.27498163
566	14.26732421
567	14.25866876
568	14.25334897
569	14.24182364
570	14.23366423
571	14.22382311
572	14.21787145
573	14.20744699
574	14.19748371
575	14.19476837
576	14.18861044
577	14.18147576
578	14.17151212
579	14.16351573
580	14.15565469
581	14.15023987
582	14.14396586
583	14.1345854
584	14.12789739
585	14.12124789
586	14.11014196
587	14.10275523
588	14.09304284
589	14.08592827
590	14.07510256
591	14.06690326
592	14.05971807
593	14.05219613
594	14.03788886
595	14.03091531
596	14.02435557
597	14.02024061
598	14.01338354
599	14.00273624
600	13.99430797
601	13.99048582
602	13.98306807
603	13.97633484
604	13.96451963
605	13.95728809
606	13.94539308
607	13.93706098
608	13.9309238
609	13.92327703
610	13.91463574
611	13.9057959
612	13.90042997
613	13.89091536
614	13.88280827
615	13.87307319
616	13.86302761
617	13.85710327
618	13.84933399
619	13.83978693
620	13.83038318
621	13.82276432
622	13.81587428
623	13.80932532
624	13.80619543
625	13.80090258
626	13.79341364
627	13.78793456
628	13.78285522
629	13.77326764
630	13.76479293
631	13.75621853
632	13.74908914
633	13.74037145
634	13.73488349
635	13.72789255
636	13.72048447
637	13.71138872
638	13.70121007
639	13.69549087
640	13.68875515
641	13.68074362
642	13.67209488
643	13.66378951
644	13.65774619
645	13.64952671
646	13.64063209
647	13.63394621
648	13.62460769
649	13.6173415
650	13.61239021
651	13.6068925
652	13.60189845
653	13.59583728
654	13.58770233
655	13.58264815
656	13.57808269
657	13.56879675
658	13.56194145
659	13.55497658
660	13.5485276
661	13.54123657
662	13.53447481
663	13.52730805
664	13.51993811
665	13.51096696
666	13.50200321
667	13.4933217
668	13.4856004
669	13.48092422
670	13.47504128
671	13.47058031
672	13.46672487
673	13.46113504
674	13.45479797
675	13.44532985
676	13.44075455
677	13.43293242
678	13.42536634
679	13.41797557
680	13.40856603
681	13.40392944
682	13.39812508
683	13.39317136
684	13.38366081
685	13.37916008
686	13.37157789
687	13.36688329
688	13.36239504
689	13.35292262
690	13.34548435
691	13.33847554
692	13.32799505
693	13.31991626
694	13.31587605
695	13.30932135
696	13.29769271
697	13.29210205
698	13.28475998
699	13.28117628
700	13.2746736
701	13.26706046
702	13.25985925
703	13.25349201
704	13.24810887
705	13.24213139
706	13.23591053
707	13.23018555
708	13.22128515
709	13.21603683
710	13.20880207
711	13.19930789
712	13.19074943
713	13.18491993
714	13.17647977
715	13.17162923
716	13.16578926
717	13.1567178
718	13.15156507
719	13.14393964
720	13.1393345
721	13.13575983
722	13.12955072
723	13.12087933
724	13.11599212
725	13.10775718
726	13.10316248
727	13.09491821
728	13.08708945
729	13.07868776
730	13.07202968
731	13.065859
732	13.05677008
733	13.04932419
734	13.04524979
735	13.0393615
736	13.03362512
737	13.0274088
738	13.02252073
739	13.0174317
740	13.01275438
741	13.0034641
742	12.99670446
743	12.98604053
744	12.98298827
745	12.9744937
746	12.96931792
747	12.96463138
748	12.95431463
749	12.94621931
750	12.93945081
751	12.93408443
752	12.9293186
753	12.92327215
754	12.91543441
755	12.90852524
756	12.9017895
757	12.89550186
758	12.89036534
759	12.88285814
760	12.87767533
761	12.8707818
762	12.86463109
763	12.85919921
764	12.85308824
765	12.85045518
766	12.84613567
767	12.84213722
768	12.83527783
769	12.82670699
770	12.81946146
771	12.81345697
772	12.80920243
773	12.80145943
774	12.79330291
775	12.7871862
776	12.77855205
777	12.77133964
778	12.76691693
779	12.76012459
780	12.75050802
781	12.74570368
782	12.73788019
783	12.73124136
784	12.72551986
785	12.71993465
786	12.71441019
787	12.70759925
788	12.70119694
789	12.69490162
790	12.68885057
791	12.68373482
792	12.67818518
793	12.67293589
794	12.66730018
795	12.66051869
796	12.65277002
797	12.64676443
798	12.63665968
799	12.63154055
800	12.6265797
801	12.61758634
802	12.61218224
803	12.60616759
804	12.60032576
805	12.59324045
806	12.58667859
807	12.58112795
808	12.57678448
809	12.56994743
810	12.56500993
811	12.56127802
812	12.55799305
813	12.5531854
814	12.54667148
815	12.54009111
816	12.53600478
817	12.52927368
818	12.52338909
819	12.51996887
820	12.51324068
821	12.50331975
822	12.49863221
823	12.49323659
824	12.48506022
825	12.48021983
826	12.47075912
827	12.46410745
828	12.45689442
829	12.45161296
830	12.44594304
831	12.44237882
832	12.43769354
833	12.43091684
834	12.42480545
835	12.41863314
836	12.41253673
837	12.40599207
838	12.40209015
839	12.39616465
840	12.39049367
841	12.38289438
842	12.37721617
843	12.36978156
844	12.36499795
845	12.35804429
846	12.35221298
847	12.34655731
848	12.34266867
849	12.33939144
850	12.33594045
851	12.33283807
852	12.32839562
853	12.32257368
854	12.31682476
855	12.30932512
856	12.30203689
857	12.29460714
858	12.28942297
859	12.283496
860	12.27787296
861	12.27103116
862	12.26816998
863	12.26194228
864	12.25720274
865	12.25110108
866	12.24692961
867	12.23936211
868	12.2352388
869	12.22796633
870	12.21990728
871	12.2134698
872	12.20778897
873	12.20420676
874	12.2005333
875	12.19446085
876	12.18966709
877	12.183002
878	12.1782065
879	12.17411623
880	12.17047943
881	12.16480802
882	12.1578377
883	12.15363706
884	12.14774697
885	12.14245742
886	12.13871809
887	12.1282544
888	12.12300342
889	12.11752559
890	12.11290301
891	12.10851894
892	12.10391125
893	12.0996793
894	12.09118408
895	12.08452501
896	12.07910921
897	12.07381978
898	12.06943635
899	12.0652547
900	12.05825744
901	12.05264991
902	12.04487664
903	12.03716449
904	12.03407879
905	12.02880428
906	12.023711
907	12.01745448
908	12.01387728
909	12.01057808
910	12.00483507
911	11.99888126
912	11.99452573
913	11.98854093
914	11.9804481
915	11.97518721
916	11.96958365
917	11.96400007
918	11.95818359
919	11.95355613
920	11.94754773
921	11.94246624
922	11.93758451
923	11.9308944
924	11.92302012
925	11.91385665
926	11.90797423
927	11.90440344
928	11.89717848
929	11.89396887
930	11.88913308
931	11.88247324
932	11.87622023
933	11.87048888
934	11.86763915
935	11.86180779
936	11.85663153
937	11.85048499
938	11.84527283
939	11.84047893
940	11.83696084
941	11.83257987
942	11.8263293
943	11.81961178
944	11.81529278
945	11.81067861
946	11.80492809
947	11.7993299
948	11.79472273
949	11.79017057
950	11.78711977
951	11.78212489
952	11.7757489
953	11.77068549
954	11.76670798
955	11.7601523
956	11.75531263
957	11.75039415
958	11.74552647
959	11.74068932
960	11.73473769
961	11.72970582
962	11.72590578
963	11.72244727
964	11.71672762
965	11.71254789
966	11.70753493
967	11.70306063
968	11.69678382
969	11.69120544
970	11.68862892
971	11.68136826
972	11.67788556
973	11.67385261
974	11.66841872
975	11.66408182
976	11.65890491
977	11.6553433
978	11.65034493
979	11.64273065
980	11.63727327
981	11.63102309
982	11.62607156
983	11.6173075
984	11.61232321
985	11.60493571
986	11.60125853
987	11.59606013
988	11.59118885
989	11.58777053
990	11.58284295
991	11.57703677
992	11.57079132
993	11.56489902
994	11.55688447
995	11.55097995
996	11.54681685
997	11.5426149
998	11.53724135
999	11.53021258
